REP_PERIOD,FUND_TYP,COD_BUDGET,COD_CONS_EK,COD_CONS_EK_NAME,ZAT_AMT,PLANS_AMT,FAKT_AMT,FAKT_V2MB_AMT,FAKTSIK_AMT,FAKTSIK_V2MB_AMT,FAKTSPP_AMT,FAKTSPP_V2MB_AMT,FAKTSID_AMT,FAKTSID_V2MB_AMT,CITY
2021-01-31,C,13563000000,9000,Нерозподілені видатки,70000000,0,0,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,T,13563000000,2120,Нарахування на оплату праці,811867669,809897685.7,34401802.18,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,S,13563000000,3110,Придбання обладнання і предметів довгострокового користування,2796800,2933726.84,0,NA,0,NA,0,NA,0,NA,Lviv
2021-01-31,S,13563000000,2272,Оплата водопостачання та водовідведення,486237,486816.82,14894,NA,0,NA,14894,NA,0,NA,Lviv
2021-01-31,T,13563000000,2800,Інші поточні видатки,7036135,7019421.58,216628.61,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,T,13563000000,2230,Продукти харчування,291723204,293692888.78,21739761.43,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,S,13563000000,2210,"Предмети, матеріали, обладнання та інвентар",9826758,10269631.83,249936.4,NA,0,NA,66630.9,NA,183305.5,NA,Lviv
2021-01-31,C,13563000000,2620,Поточні трансферти органам державного управління інших рівнів,735832300,0,61319400,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,C,13563000000,2240,Оплата послуг (крім комунальних),1186897713,1186555813,42150827.1,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,T,13563000000,2273,Оплата електроенергії,52064277,51895277,91602.94,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,S,13563000000,2800,Інші поточні видатки,1287777,1289163.58,37069.54,NA,0,NA,37069.54,NA,0,NA,Lviv
2021-01-31,S,13563000000,2730,Інші виплати населенню,0,69600,69600,NA,0,NA,0,NA,69600,NA,Lviv
2021-01-31,S,13563000000,2271,Оплата теплопостачання,1491804,1494424.18,0,NA,0,NA,0,NA,0,NA,Lviv
2021-01-31,C,13563000000,2111,Заробітна плата,3669635200,3660280070,155687450.71,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,C,13563000000,2220,Медикаменти та перев'язувальні матеріали,16161400,16161400,261331.5,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,S,13563000000,3132,Капітальний ремонт інших об'єктів,781000,1107086,0,NA,0,NA,0,NA,0,NA,Lviv
2021-01-31,S,13563000000,2281,"Дослідження і розробки, окремі заходи розвитку по реалізації державних (регіональних) програм",20000,20000,0,NA,0,NA,0,NA,0,NA,Lviv
2021-01-31,T,13563000000,3122,Капітальне будівництво (придбання) інших об'єктів,1534274800,1534274800,4008,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,T,13563000000,2410,Обслуговування внутрішніх боргових зобов'язань,169350400,169350400,12714000,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,S,13563000000,2111,Заробітна плата,26191150,26260537.55,1005583.51,NA,0,NA,951099.72,NA,54483.79,NA,Lviv
2021-01-31,C,13563000000,2273,Оплата електроенергії,50991253,50820253,91602.94,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,S,13563000000,2220,Медикаменти та перев'язувальні матеріали,118965,118965,0,NA,0,NA,0,NA,0,NA,Lviv
2021-01-31,S,13563000000,2275,Оплата інших енергоносіїв та інших комунальних послуг,346607,360107,1302.84,NA,0,NA,1302.84,NA,0,NA,Lviv
2021-01-31,C,13563000000,2120,Нарахування на оплату праці,806076906,804092531,34179989.26,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,S,13563000000,2720,Стипендії,895880,903087,28849.16,NA,0,NA,28849.16,NA,0,NA,Lviv
2021-01-31,T,13563000000,2250,Видатки на відрядження,3554901,3554901,16011.38,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,T,13563000000,2240,Оплата послуг (крім комунальних),1197061268,1196857720.99,42189702.62,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,C,13563000000,2275,Оплата інших енергоносіїв та інших комунальних послуг,5494676,5477876,228538.88,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,T,13563000000,2272,Оплата водопостачання та водовідведення,12229050,12220129.82,664242.31,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,S,13563000000,3142,Реконструкція та реставрація інших об'єктів,70000,70000,0,NA,0,NA,0,NA,0,NA,Lviv
2021-01-31,C,13563000000,2630,Поточні трансферти урядам іноземних держав та міжнародним організаціям,408200,408200,0,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,S,13563000000,2282,"Окремі заходи по реалізації державних (регіональних) програм, не віднесені до заходів розвитку",204150,204150,0,NA,0,NA,0,NA,0,NA,Lviv
2021-01-31,T,13563000000,2720,Стипендії,54795880,54803087,3240558.54,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,C,13563000000,2720,Стипендії,53900000,53900000,3211709.38,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,T,13563000000,3142,Реконструкція та реставрація інших об'єктів,70000,70000,0,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,T,13563000000,2210,"Предмети, матеріали, обладнання та інвентар",145009273,145322546.83,9066693.16,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,T,13563000000,2220,Медикаменти та перев'язувальні матеріали,16280365,16280365,261331.5,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,C,13563000000,2230,Продукти харчування,219672380,219672380,16914772.97,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,C,13563000000,2282,"Окремі заходи по реалізації державних (регіональних) програм, не віднесені до заходів розвитку",32771640,32771640,727409.99,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,S,13563000000,2273,Оплата електроенергії,1073024,1075024,0,NA,0,NA,0,NA,0,NA,Lviv
2021-01-31,S,13563000000,2120,Нарахування на оплату праці,5790763,5805154.7,221812.92,NA,0,NA,210471.22,NA,11341.7,NA,Lviv
2021-01-31,C,13563000000,2281,"Дослідження і розробки, окремі заходи розвитку по реалізації державних (регіональних) програм",423000,423000,0,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,T,13563000000,2620,Поточні трансферти органам державного управління інших рівнів,735832300,0,61319400,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,T,13563000000,2630,Поточні трансферти урядам іноземних держав та міжнародним організаціям,408200,408200,0,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,C,13563000000,2800,Інші поточні видатки,5748358,5730258,179559.07,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,T,13563000000,2282,"Окремі заходи по реалізації державних (регіональних) програм, не віднесені до заходів розвитку",32975790,32975790,727409.99,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,T,13563000000,2281,"Дослідження і розробки, окремі заходи розвитку по реалізації державних (регіональних) програм",443000,443000,0,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,C,13563000000,2250,Видатки на відрядження,3191923,3191923,13014.38,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,C,13563000000,2730,Інші виплати населенню,255626798,255626798,2924314.66,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,S,13563000000,2250,Видатки на відрядження,362978,362978,2997,NA,0,NA,2997,NA,0,NA,Lviv
2021-01-31,T,13563000000,9000,Нерозподілені видатки,70000000,0,0,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,T,13563000000,3210,"Капітальні трансферти підприємствам (установам, організаціям)",523400000,523400000,18783610.16,18783610.16,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,T,13563000000,2610,"Субсидії та поточні трансферти підприємствам (установам, організаціям)",838190960,838190960,53161398.09,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,C,13563000000,2272,Оплата водопостачання та водовідведення,11742813,11733313,649348.31,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,T,13563000000,2275,Оплата інших енергоносіїв та інших комунальних послуг,5841283,5837983,229841.72,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,S,13563000000,2240,Оплата послуг (крім комунальних),10163555,10301907.99,38875.52,NA,0,NA,32204.32,NA,6671.2,NA,Lviv
2021-01-31,T,13563000000,3132,Капітальний ремонт інших об'єктів,781000,1107086,0,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,C,13563000000,2410,Обслуговування внутрішніх боргових зобов'язань,169350400,169350400,12714000,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,C,13563000000,2610,"Субсидії та поточні трансферти підприємствам (установам, організаціям)",838190960,838190960,53161398.09,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,C,13563000000,2271,Оплата теплопостачання,207212290,207212290,20314673.83,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-02-28,T,26000000000,2230,Продукти харчування,1453610173,1470447659.32,96066233.49,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-02-28,T,26000000000,3122,Капітальне будівництво (придбання) інших об'єктів,25433500,25433500,0,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-02-28,T,26000000000,2710,Виплата пенсій і допомоги,3469200,3469200,464826.55,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-02-28,C,26000000000,2720,Стипендії,95541921,95541921,15264589.54,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-02-28,T,26000000000,3160,Придбання землі та нематеріальних активів,4631000,4631000,0,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-02-28,S,26000000000,3132,Капітальний ремонт інших об'єктів,1376436573,1417865624.25,40778634.96,NA,0,NA,0,NA,40778634.96,NA,Kyiv
2021-02-28,S,26000000000,2800,Інші поточні видатки,32909223,34668140.94,1340834.39,NA,0,NA,1340808.69,NA,25.7,NA,Kyiv
2021-02-28,S,26000000000,3143,"Реставрація пам'яток культури, історії та архітектури",77885035,77885035,0,NA,0,NA,0,NA,0,NA,Kyiv
2021-02-28,S,26000000000,2275,Оплата інших енергоносіїв та інших комунальних послуг,1188984,1261617.72,38277.71,NA,0,NA,35412.45,NA,2865.26,NA,Kyiv
2021-02-28,C,26000000000,2240,Оплата послуг (крім комунальних),2598876173,2598876173,31120499.56,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-02-28,S,26000000000,2273,Оплата електроенергії,18478816,19213592.41,473061.68,NA,0,NA,473061.68,NA,0,NA,Kyiv
2021-02-28,T,26000000000,2276,Оплата енергосервісу,17706400,17706400,1485763.2,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-02-28,T,26000000000,2281,"Дослідження і розробки, окремі заходи розвитку по реалізації державних (регіональних) програм",26654006,26654006,0,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-02-28,T,26000000000,2420,Обслуговування зовнішніх боргових зобов'язань,303400004,303400004,0,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-02-28,C,26000000000,9000,Нерозподілені видатки,212371200,0,0,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-02-28,T,26000000000,2410,Обслуговування внутрішніх боргових зобов'язань,91800000,91800000,6012360,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-02-28,T,26000000000,2111,Заробітна плата,17679866394,17681450149.27,2572708613.63,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-02-28,S,26000000000,2272,Оплата водопостачання та водовідведення,5301330,5422249.69,192428.65,NA,0,NA,192428.65,NA,0,NA,Kyiv
2021-02-28,S,26000000000,2210,"Предмети, матеріали, обладнання та інвентар",208762200,215172852.7,9151619.89,NA,0,NA,5713343.8,NA,3438276.09,NA,Kyiv
2021-02-28,S,26000000000,2230,Продукти харчування,983415126,1000252612.32,55859833.31,NA,0,NA,54135539.81,NA,1724293.5,NA,Kyiv
2021-02-28,C,26000000000,2281,"Дослідження і розробки, окремі заходи розвитку по реалізації державних (регіональних) програм",3854006,3854006,0,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-02-28,C,26000000000,2272,Оплата водопостачання та водовідведення,113243396,113243396,8192160.94,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-02-28,S,26000000000,2220,Медикаменти та перев'язувальні матеріали,15803800,16256460.69,391648.64,NA,0,NA,65666.88,NA,325981.76,NA,Kyiv
2021-02-28,T,26000000000,3110,Придбання обладнання і предметів довгострокового користування,408832513,415879994.66,5397389.27,NA,NA,NA,NA,NA,NA,NA,Kyiv
