CITY,REP_PERIOD,income,expense,core_income,op_surplus
Mukachevo,2022-06-30,885.11740436,549.03824259,718.34830436,336.07916177000004
Mukachevo,2022-07-31,1072.15934104,642.3993265700001,895.68494104,429.76001447
Mukachevo,2022-08-31,1259.79755052,739.9143266,1073.32335052,519.88322392
Mukachevo,2022-09-30,1465.17029527,869.41590023,1259.14009527,595.75439504
Mukachevo,2022-10-31,1670.75169104,981.8214670799999,1444.92749104,688.93022396
Mukachevo,2022-11-30,1865.6537474900001,1100.7275393099999,1619.78824749,764.9262081800002
Mukachevo,2022-12-31,2096.79812916,1338.13246177,1829.15152916,758.66566739
Mukachevo,2023-01-31,220.1400439,83.14994956,201.1642439,136.99009433999998
Mukachevo,2023-02-28,398.53938091000003,225.93582268,360.29358091,172.60355823000003
Mukachevo,2023-03-31,633.7190161599999,361.02298343,572.9879161599999,272.6960327299999
Mukachevo,2023-04-30,870.84981804,521.7191143,789.83921804,349.13070373999994
Mukachevo,2023-05-31,1130.92518572,725.35081711,1024.2795857200001,405.57436860999996
Mukachevo,2023-06-30,1401.66294117,955.04618878,1245.14374117,446.6167523900001
Mukachevo,2023-07-31,1697.41784051,1189.48765749,1525.85594167,507.93018301999996
Mukachevo,2023-08-31,1957.27437381,1366.1100918099999,1771.93737497,591.1642820000002
Mukachevo,2023-09-30,2220.4089467599997,1579.56558918,2014.18934792,640.8433575799997
Mukachevo,2023-10-31,2480.1424619,1836.00582575,2250.75783969,644.13663615
Mukachevo,2023-11-30,2470.41612502,2014.87584546,2220.14980281,455.54027956000004
Mukachevo,2023-12-31,2678.21230186,2256.59995769,2326.4597676900003,421.61234417000014
Mukachevo,2024-01-31,109.2567763,61.26336454,88.0383763,47.99341176
Mukachevo,2024-02-29,228.75028140999999,202.71506838,186.31548141,26.035213029999994
Mukachevo,2024-03-31,346.08503602999997,313.36331624,281.06583602999996,32.72171978999995
Mukachevo,2024-04-30,473.11948992000003,438.8949985,378.54948992000004,34.22449142000005
Mukachevo,2024-05-31,599.45607702,562.72538025,479.26577702,36.73069677000001
Mukachevo,2024-06-30,748.80198452,715.3971714500001,573.01618452,33.40481306999993
Mukachevo,2024-07-31,860.2888337100001,817.69344888,671.63623061,42.59538483000006
Mykolaiv,2021-01-31,308.04579988,194.34699714,256.72598388,113.69880273999999
Mykolaiv,2021-02-28,675.60479234,481.78231455,563.29827134,193.82247779
Mykolaiv,2021-03-31,1027.8290548300001,779.77662273,853.1102029399999,248.05243210000015
Mykolaiv,2021-04-30,1398.68190318,1065.33557042,1159.32216929,333.34633276
Mykolaiv,2021-05-31,1776.51382206,1370.7648405,1455.47007017,405.74898155999995
Mykolaiv,2021-06-30,2238.92326976,1782.9692147599999,1756.86138787,455.95405500000015
Mykolaiv,2021-07-31,2586.9085971100003,2012.23994337,2070.02705222,574.6686537400003
Mykolaiv,2021-08-31,2927.0101654,2239.18250194,2367.98410251,687.8276634600002
Mykolaiv,2021-09-30,3297.6378382199996,2548.91927677,2650.38366892,748.7185614499995
Mykolaiv,2021-10-31,3749.6604062999995,2843.4949804899998,3023.69370916,906.1654258099998
Mykolaiv,2021-11-30,4196.1763804600005,3185.00161525,3355.25399,1011.1747652100003
Mykolaiv,2021-12-31,5096.47510954,4144.53039402,3720.61921863,951.9447155199996
Mykolaiv,2022-01-31,374.01179414,237.80927606999998,305.08396014,136.20251807000002
