REP_PERIOD,FUND_TYP,COD_BUDGET,COD_FINA,NAME_FIN,ZAT_AMT,FAKT_AMT,CITY
2021-01-31,C,20554000000,602000,Зміни обсягів бюджетних коштів,-3985936239,-450653123.69,Kharkiv
2021-01-31,C,20554000000,602100,На початок періоду,156099150,156099150.01,Kharkiv
2021-01-31,C,20554000000,602400,"Кошти, що передаються із загального фонду бюджету до бюджету розвитку (спеціального фонду)",-3971246239,-54653768,Kharkiv
2021-01-31,S,20554000000,601000,"Зміни обсягів депозитів і цінних паперів, що використовуються для управління ліквідністю",5620150,-1026000000,Kharkiv
2021-01-31,S,20554000000,602200,На кінець періоду,1021990296,49376641.21,Kharkiv
2021-01-31,T,20554000000,602300,Інші розрахунки,0,30453384.08,Kharkiv
2021-01-31,T,22564000000,400000,Фінансування за борговими операціями,13786494.58,0,Khmelnytskyi
2021-01-31,C,22564000000,602400,"Кошти, що передаються із загального фонду бюджету до бюджету розвитку (спеціального фонду)",-250290363,0,Khmelnytskyi
2021-01-31,C,22564000000,601100,"Повернення бюджетних коштів з депозитів, надходження внаслідок продажу/пред'явлення цінних паперів",28000000,40000000,Khmelnytskyi
2021-01-31,C,22564000000,602000,Зміни обсягів бюджетних коштів,-250290363,30463785.21,Khmelnytskyi
2021-01-31,T,22564000000,602000,Зміни обсягів бюджетних коштів,0,29268386.98,Khmelnytskyi
2021-01-31,T,22564000000,401200,Зовнішні запозичення,16535522.58,0,Khmelnytskyi
2021-01-31,T,22564000000,402202,Середньострокові зобов'язання,-2749028,0,Khmelnytskyi
2021-01-31,T,22564000000,601000,"Зміни обсягів депозитів і цінних паперів, що використовуються для управління ліквідністю",0,-48000000,Khmelnytskyi
2021-01-31,C,22564000000,601200,"Розміщення бюджетних коштів на депозитах, придбання цінних паперів",-28000000,-88000000,Khmelnytskyi
2021-01-31,T,22564000000,601200,"Розміщення бюджетних коштів на депозитах, придбання цінних паперів",-28000000,-88000000,Khmelnytskyi
2021-01-31,C,22564000000,601000,"Зміни обсягів депозитів і цінних паперів, що використовуються для управління ліквідністю",0,-48000000,Khmelnytskyi
2021-01-31,C,22564000000,601110,Повернення бюджетних коштів з депозитів,28000000,40000000,Khmelnytskyi
2021-01-31,S,22564000000,602300,Інші розрахунки,0,11613794.29,Khmelnytskyi
2021-01-31,S,22564000000,401000,Запозичення,16535522.58,0,Khmelnytskyi
2021-01-31,T,22564000000,402200,Зовнішні зобов'язання,-2749028,0,Khmelnytskyi
2021-01-31,S,22564000000,600000,Фінансування за активними операціями,250290363,-1195398.23,Khmelnytskyi
2021-01-31,T,22564000000,601100,"Повернення бюджетних коштів з депозитів, надходження внаслідок продажу/пред'явлення цінних паперів",28000000,40000000,Khmelnytskyi
2021-01-31,T,22564000000,601110,Повернення бюджетних коштів з депозитів,28000000,40000000,Khmelnytskyi
2021-01-31,S,22564000000,602000,Зміни обсягів бюджетних коштів,250290363,-1195398.23,Khmelnytskyi
2021-01-31,S,22564000000,602100,На початок періоду,0,7363281.26,Khmelnytskyi
2021-01-31,S,22564000000,402000,Погашення,-2749028,0,Khmelnytskyi
2021-01-31,T,22564000000,602200,На кінець періоду,0,72159888.49,Khmelnytskyi
2021-01-31,S,22564000000,602304,Інші розрахунки,0,11613794.29,Khmelnytskyi
2021-01-31,S,22564000000,401201,Довгострокові зобов'язання,16535522.58,0,Khmelnytskyi
2021-01-31,C,22564000000,602100,На початок періоду,0,82451199.92,Khmelnytskyi
2021-01-31,T,22564000000,602100,На початок періоду,0,89814481.18,Khmelnytskyi
2021-01-31,C,22564000000,602200,На кінець періоду,0,51987414.71,Khmelnytskyi
2021-01-31,S,22564000000,602200,На кінець періоду,0,20172473.78,Khmelnytskyi
2021-01-31,T,22564000000,602300,Інші розрахунки,0,11613794.29,Khmelnytskyi
2021-01-31,T,22564000000,401000,Запозичення,16535522.58,0,Khmelnytskyi
2021-01-31,S,22564000000,401200,Зовнішні запозичення,16535522.58,0,Khmelnytskyi
2021-01-31,S,22564000000,402202,Середньострокові зобов'язання,-2749028,0,Khmelnytskyi
2021-01-31,C,22564000000,600000,Фінансування за активними операціями,-250290363,-17536214.79,Khmelnytskyi
2021-01-31,T,22564000000,602304,Інші розрахунки,0,11613794.29,Khmelnytskyi
2021-01-31,S,22564000000,602400,"Кошти, що передаються із загального фонду бюджету до бюджету розвитку (спеціального фонду)",250290363,0,Khmelnytskyi
2021-01-31,S,22564000000,400000,Фінансування за борговими операціями,13786494.58,0,Khmelnytskyi
2021-01-31,T,22564000000,402000,Погашення,-2749028,0,Khmelnytskyi
2021-01-31,S,22564000000,402200,Зовнішні зобов'язання,-2749028,0,Khmelnytskyi
2021-01-31,T,22564000000,600000,Фінансування за активними операціями,0,-18731613.02,Khmelnytskyi
2021-01-31,C,22564000000,601210,Розміщення бюджетних коштів на депозитах,-28000000,-88000000,Khmelnytskyi
